%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold f_direct_runoff log__routing_K neg_kge        
1        I1         0.4423657064   1.793080032    4.199785706    0.1211426688   0.3368864109   2.745035188    1.488318497    2.479740193    0.2432812144   -0.9980545135  0.5701158303   
2        I1         0.6022293771   2.152574619    4.172514511    0.784987453    0.8862407109   9.507725647    1.244573648    2.081696223    0.3468503071   0.2783298605   0.9620973536   
3        I1         1.763925888    2.68783041     4.200932026    0.2955854276   0.4564087718   8.097781065    1.91254571     1.603564173    0.1179070114   0.5455694798   0.7934135239   
4        I1         0.9287867655   1.402946111    3.222304965    0.1590168536   0.2590210574   3.326900484    1.51539879     2.562848517    0.2942257329   -0.6726587056  0.3974887691   
5        I1         1.782005308    1.977115245    4.478365765    0.651920224    0.1678155591   3.14755921     1.117540016    2.883009095    0.4577709313   0.8897844816   0.3408149039   
6        I1         0.7944527712   1.283430578    2.517908039    0.5086660562   0.2024594346   9.991714094    1.692970203    1.288401825    0.392736277    -0.06298993815 0.897242664    
7        I1         1.922741166    2.604477542    2.915510221    0.5638364349   0.7583853412   8.590859009    1.627469842    2.84578239     0.08810732396  -0.02203825858 0.5612383728   
8        I1         1.272207432    1.543263755    3.278778149    0.9612380033   0.5218425283   6.860116878    1.80580799     2.63125369     0.4017461499   0.4489506757   0.6475744888   
9        I1         1.20888945     1.942919303    4.152292324    0.5888760907   0.6010431956   3.510819458    2.222455318    2.97050153     0.2921798625   -0.2807772382  0.3911878547   
10       I1         1.311619337    1.028271672    3.727471997    0.2856764246   0.687578367    5.936447582    2.255467775    1.198765904    0.2978724598   0.1512880353   0.2856970509   
11       I1         1.501985263    1.945292096    3.177042209    0.4088656905   0.07153671873  8.042952388    2.763191849    2.737728065    0.3765422654   0.4755614028   0.4197731966   
12       I1         1.182617716    2.412265176    3.735986787    0.05053750021  0.1826518913   1.29660512     1.646961503    1.715141004    0.4494117485   0.08707755232  0.4088026717   
13       I1         1.688565927    1.682658681    3.690887563    0.2022170083   0.2633067763   0.6736454139   2.501488129    1.819449405    0.1554372798   -0.1571790295  0.802233344    
14       I1         1.464272455    2.183767031    4.004195038    0.7974454449   0.7642913539   3.583289689    1.012927465    2.356551835    0.1420604198   0.4205037677   0.64348731     
15       I1         0.8516816416   1.506790343    4.214466027    0.5692604473   0.5722213742   2.245178107    1.572937828    1.79321055     0.2365946546   0.7687462438   0.3150219791   
16       I1         1.339681715    2.626616406    4.445073272    0.5146591661   0.9849853431   5.557819973    1.957670154    2.233698437    0.2647830405   0.8112419738   0.4807688842   
17       I1         1.134513451    1.128098203    3.242283537    0.6029956616   0.1802341327   1.606485542    1.412317196    2.598009624    0.3012093617   0.0173950174   0.4303074355   
